uf;municipio;ano;mes;vitimas
RS;BARÃO DO TRIUNFO;2024;10;0.0
RS;BARÃO DO TRIUNFO;2024;11;0.0
RS;BARÃO DO TRIUNFO;2024;12;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;1;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;2;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;3;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;4;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;5;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;6;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;7;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;8;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;9;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;10;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;11;0.0
RS;BENJAMIN CONSTANT DO SUL;2024;12;0.0
RS;BENTO GONÇALVES;2024;1;4.0
RS;BENTO GONÇALVES;2024;2;5.0
RS;BENTO GONÇALVES;2024;3;4.0
RS;BENTO GONÇALVES;2024;4;1.0
RS;BENTO GONÇALVES;2024;5;1.0
RS;BENTO GONÇALVES;2024;6;5.0
RS;BENTO GONÇALVES;2024;7;5.0
RS;BENTO GONÇALVES;2024;8;4.0
RS;BENTO GONÇALVES;2024;9;0.0
RS;BENTO GONÇALVES;2024;10;4.0
RS;BENTO GONÇALVES;2024;11;0.0
RS;BENTO GONÇALVES;2024;12;2.0
RS;BOA VISTA DAS MISSÕES;2024;1;0.0
RS;BOA VISTA DAS MISSÕES;2024;2;0.0
RS;BOA VISTA DAS MISSÕES;2024;3;0.0
RS;BOA VISTA DAS MISSÕES;2024;4;0.0
RS;BOA VISTA DAS MISSÕES;2024;5;0.0
RS;BOA VISTA DAS MISSÕES;2024;6;0.0
RS;BOA VISTA DAS MISSÕES;2024;7;0.0
RS;BOA VISTA DAS MISSÕES;2024;8;0.0
RS;BOA VISTA DAS MISSÕES;2024;9;0.0
RS;BOA VISTA DAS MISSÕES;2024;10;0.0
RS;BOA VISTA DAS MISSÕES;2024;11;0.0
RS;BOA VISTA DAS MISSÕES;2024;12;0.0
RS;BOA VISTA DO BURICÁ;2024;1;0.0
RS;BOA VISTA DO BURICÁ;2024;2;0.0
RS;BOA VISTA DO BURICÁ;2024;3;0.0
RS;BOA VISTA DO BURICÁ;2024;4;0.0
RS;BOA VISTA DO BURICÁ;2024;5;0.0
RS;BOA VISTA DO BURICÁ;2024;6;0.0
RS;BOA VISTA DO BURICÁ;2024;7;0.0
RS;BOA VISTA DO BURICÁ;2024;8;0.0
RS;BOA VISTA DO BURICÁ;2024;9;0.0
RS;BOA VISTA DO BURICÁ;2024;10;0.0
RS;BOA VISTA DO BURICÁ;2024;11;0.0
RS;BOA VISTA DO BURICÁ;2024;12;0.0
RS;BOA VISTA DO CADEADO;2024;1;0.0
RS;BOA VISTA DO CADEADO;2024;2;0.0
RS;BOA VISTA DO CADEADO;2024;3;0.0
RS;BOA VISTA DO CADEADO;2024;4;0.0
RS;BOA VISTA DO CADEADO;2024;5;0.0
RS;BOA VISTA DO CADEADO;2024;6;0.0
RS;BOA VISTA DO CADEADO;2024;7;0.0
RS;BOA VISTA DO CADEADO;2024;8;0.0
RS;BOA VISTA DO CADEADO;2024;9;0.0
RS;BOA VISTA DO CADEADO;2024;10;0.0
RS;BOA VISTA DO CADEADO;2024;11;0.0
RS;BOA VISTA DO CADEADO;2024;12;0.0
RS;BOA VISTA DO INCRA;2024;1;0.0
RS;BOA VISTA DO INCRA;2024;2;0.0
RS;BOA VISTA DO INCRA;2024;3;0.0
RS;BOA VISTA DO INCRA;2024;4;0.0
RS;BOA VISTA DO INCRA;2024;5;0.0
RS;BOA VISTA DO INCRA;2024;6;1.0
RS;BOA VISTA DO INCRA;2024;7;0.0
RS;BOA VISTA DO INCRA;2024;8;0.0
RS;BOA VISTA DO INCRA;2024;9;0.0
RS;BOA VISTA DO INCRA;2024;10;0.0
RS;BOA VISTA DO INCRA;2024;11;0.0
RS;BOA VISTA DO INCRA;2024;12;0.0
RS;BOA VISTA DO SUL;2024;1;0.0
RS;BOA VISTA DO SUL;2024;2;0.0
RS;BOA VISTA DO SUL;2024;3;0.0
RS;BOA VISTA DO SUL;2024;4;0.0
RS;BOA VISTA DO SUL;2024;5;0.0
RS;BOA VISTA DO SUL;2024;6;0.0
RS;BOA VISTA DO SUL;2024;7;0.0
RS;BOA VISTA DO SUL;2024;8;0.0
RS;BOA VISTA DO SUL;2024;9;0.0
RS;BOA VISTA DO SUL;2024;10;0.0
RS;BOA VISTA DO SUL;2024;11;0.0
RS;BOA VISTA DO SUL;2024;12;0.0
RS;BOM JESUS;2024;1;2.0
RS;BOM JESUS;2024;2;1.0
RS;BOM JESUS;2024;3;0.0
RS;BOM JESUS;2024;4;0.0
RS;BOM JESUS;2024;5;2.0
RS;BOM JESUS;2024;6;3.0
RS;BOM JESUS;2024;7;0.0
RS;BOM JESUS;2024;8;0.0
RS;BOM JESUS;2024;9;0.0
RS;BOM JESUS;2024;10;0.0
RS;BOM JESUS;2024;11;2.0
RS;BOM JESUS;2024;12;0.0
RS;BOM PRINCÍPIO;2024;1;0.0
RS;BOM PRINCÍPIO;2024;2;0.0
RS;BOM PRINCÍPIO;2024;3;0.0
RS;BOM PRINCÍPIO;2024;4;0.0
RS;BOM PRINCÍPIO;2024;5;0.0
RS;BOM PRINCÍPIO;2024;6;0.0
RS;BOM PRINCÍPIO;2024;7;0.0
RS;BOM PRINCÍPIO;2024;8;0.0
RS;BOM PRINCÍPIO;2024;9;0.0
RS;BOM PRINCÍPIO;2024;10;0.0
RS;BOM PRINCÍPIO;2024;11;0.0
RS;BOM PRINCÍPIO;2024;12;0.0
RS;BOM PROGRESSO;2024;1;0.0
RS;BOM PROGRESSO;2024;2;0.0
RS;BOM PROGRESSO;2024;3;0.0
RS;BOM PROGRESSO;2024;4;0.0
RS;BOM PROGRESSO;2024;5;0.0
RS;BOM PROGRESSO;2024;6;0.0
RS;BOM PROGRESSO;2024;7;0.0
RS;BOM PROGRESSO;2024;8;0.0
RS;BOM PROGRESSO;2024;9;0.0
RS;BOM PROGRESSO;2024;10;0.0
RS;BOM PROGRESSO;2024;11;0.0
RS;BOM PROGRESSO;2024;12;0.0
RS;BOM RETIRO DO SUL;2024;1;0.0
RS;BOM RETIRO DO SUL;2024;2;0.0
RS;BOM RETIRO DO SUL;2024;3;0.0
